Gender,"
AGE
",MARITAL STATUS,AREA OF LOCALITY ,NUM OF MEMBERS IN FAMILY ,MONTHLY INCOME ,QUALIFICATION ,WORK EXPERIENCE ,"WORK LIFE BALANCE
care diverts job", Mental worries ,Family works and personal works,"
More time spending families",personal life needs due to work load  ,"
Health issues","JOB SATISTICATION
organization
",Career elevation,No gender bias ,My best performance optimistic colleagues ,Smooth interpersonal relationship,Background of employees the best performance,IMPROVES WORK LIFE BALANCE AND INCREASES JOB SATISFACATION 
Male,1,1,3,5,1,1,1,4,4,3,4,4,4,5,4,4,4,4,4,1
Male,1,1,3,4,1,2,1,4,4,3,4,3,2,1,2,1,4,4,4,3
Male,1,1,2,3,1,1,1,3,3,4,2,4,3,2,1,3,2,4,3,5
Male,1,1,1,5,5,2,1,4,4,4,4,4,4,3,4,2,3,2,4,1
Male,2,2,1,4,3,2,2,3,4,2,4,2,4,4,4,2,4,4,4,1
Male,2,1,3,4,3,4,1,1,2,2,3,3,2,3,2,2,3,3,4,4
Male,1,1,3,4,1,2,1,1,2,2,3,3,4,3,4,4,3,4,4,5
Female,1,1,1,4,4,1,1,2,2,1,1,1,3,4,4,5,5,5,5,5
Female,1,1,1,5,3,2,2,3,4,2,5,4,4,1,1,1,4,2,3,4
Male,1,1,1,4,5,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4
Female,1,1,1,5,2,1,1,3,4,3,4,4,4,2,4,2,4,2,4,1
Male,1,1,1,4,1,2,1,4,4,4,4,3,5,2,5,5,4,4,4,3
Female,1,1,1,5,1,2,1,3,5,3,4,4,4,4,4,3,4,4,2,1
Female,1,1,1,3,2,2,1,1,5,4,1,3,1,1,1,1,1,1,1,1
Male,1,1,1,5,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2
Female,1,1,1,4,5,1,2,1,1,2,1,2,4,3,5,2,3,2,5,4
Female,3,2,1,4,3,1,2,3,5,4,4,1,3,3,5,3,4,2,2,3
Female,1,1,4,5,5,5,3,3,3,4,5,5,4,4,1,3,1,5,4,1
Female,4,2,4,3,4,4,3,2,3,3,4,5,3,3,3,4,4,5,5,2
Male,5,1,2,3,3,1,1,1,1,1,1,3,3,1,3,2,2,5,4,4
Female,1,2,1,4,1,2,3,5,4,5,5,4,5,1,1,1,3,4,5,3
Male,2,2,1,4,5,4,4,3,1,3,3,3,1,1,1,2,2,2,3,3
Female,1,2,4,4,5,5,4,5,5,1,1,3,4,3,3,5,4,3,2,1
Female,1,2,2,4,4,1,1,1,2,3,1,3,4,1,1,3,3,4,3,3
Female,1,2,2,5,4,5,3,1,1,2,2,2,3,1,1,4,5,5,5,2
Female,2,2,3,3,5,2,1,2,1,4,3,1,2,1,2,3,3,3,3,2
Male,1,1,1,2,2,5,4,3,1,4,5,1,1,1,2,4,3,2,3,3
Female,5,2,2,4,5,5,5,2,5,5,5,1,4,4,5,5,1,1,1,1
Female,1,1,3,5,1,1,1,3,4,5,5,1,1,1,1,2,3,3,2,1
Female,1,1,1,5,1,1,3,3,4,2,1,1,1,1,3,4,3,3,5,3
Female,5,1,4,2,1,2,3,3,5,3,4,2,1,1,2,3,4,5,4,4
Female,1,2,4,3,2,1,1,3,1,1,1,1,2,1,3,4,4,5,2,2
Male,4,2,2,3,3,4,4,2,1,2,3,5,3,1,1,2,3,5,4,4
Female,3,2,3,4,4,5,4,2,4,3,2,3,2,2,1,3,5,5,5,1
Female,2,2,1,2,5,5,5,5,1,1,3,4,3,3,3,2,1,1,3,3
Female,1,2,2,5,3,3,3,4,3,3,4,3,3,3,4,4,2,2,1,3
Female,1,2,1,3,3,4,4,1,1,1,3,3,3,2,3,3,1,2,4,1
Female,5,2,4,5,5,4,4,4,5,4,2,2,3,4,5,5,5,5,5,5
Female,1,2,1,2,5,5,1,1,5,5,3,3,4,4,5,5,1,5,3,3
Male,1,2,3,2,5,2,1,1,3,5,4,3,3,2,2,1,1,1,2,1
Female,3,1,2,2,3,1,1,2,2,3,4,3,4,4,4,2,3,3,3,3
Female,5,2,3,5,2,2,2,3,3,3,2,3,3,2,2,3,2,4,3,3
Female,1,1,2,5,1,4,1,1,3,1,1,3,3,1,3,1,1,1,3,1
Female,4,2,3,4,3,3,2,1,1,2,1,1,2,2,3,3,3,3,3,3
Male,5,1,2,3,2,3,2,3,4,5,5,5,5,3,4,5,5,3,4,2
Female,4,1,2,5,5,3,3,2,5,5,5,5,4,3,3,3,3,3,4,3
Female,2,1,3,4,3,3,3,3,4,3,3,1,1,1,3,4,3,3,2,3
Male,3,1,3,4,2,2,2,2,4,4,2,3,3,4,5,3,4,5,3,3
Female,2,2,1,3,3,4,3,1,1,2,3,4,4,4,4,4,4,3,3,2
Male,1,1,1,2,5,1,2,1,2,2,1,1,1,3,3,3,3,3,3,3
Female,3,2,1,5,4,5,3,4,4,2,4,2,3,2,3,1,3,4,4,3
Female,1,1,3,5,4,2,1,1,2,1,3,1,1,1,4,4,4,4,4,1
Female,1,1,1,5,1,2,1,5,4,2,5,2,3,5,5,5,5,4,3,1
Female,1,1,2,4,1,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3
Male,1,1,3,3,1,2,1,4,5,4,4,4,4,3,4,4,4,3,3,1
Female,1,1,1,4,3,2,1,1,2,3,4,2,4,4,3,4,5,4,5,5
Male,1,1,2,4,1,2,1,4,4,4,4,3,5,5,4,5,5,5,5,3
Female,1,1,3,4,1,2,1,3,2,4,4,5,3,4,5,4,4,5,2,3
Female,1,1,2,4,1,2,1,3,4,1,4,4,3,4,4,4,4,3,4,4
Female,1,1,1,4,1,2,1,4,3,4,4,4,4,4,3,4,4,5,2,5
Male,2,1,3,3,5,5,1,3,2,4,5,4,4,5,4,5,4,5,5,3
Female,1,1,3,4,1,2,1,4,4,4,3,4,4,4,4,4,4,4,4,5
Female,1,2,2,5,3,3,1,1,5,4,4,4,5,4,5,5,4,4,4,3
Female,4,1,3,3,3,4,2,2,2,3,2,4,2,3,3,4,4,4,5,5
Female,1,1,3,4,3,2,1,4,3,4,4,4,4,4,4,4,4,4,4,2
Female,3,2,2,4,4,4,4,3,3,5,4,5,5,5,5,4,4,4,4,3
Male,1,1,4,4,2,1,1,4,4,4,4,5,5,5,4,5,5,5,2,5
Female,1,1,3,4,1,2,1,5,4,4,3,4,4,5,4,5,4,3,5,3
Female,1,1,2,4,1,2,1,4,4,2,4,3,4,4,5,4,4,4,4,5
Male,1,1,3,4,1,1,1,4,4,5,4,4,4,3,5,5,5,5,5,5
Female,1,1,4,4,1,1,1,4,4,4,4,4,4,2,3,3,4,4,5,5
Male,1,1,4,4,3,4,2,5,4,5,5,5,4,5,3,4,4,5,5,1
Female,3,1,4,4,4,2,2,2,4,2,4,4,4,3,4,4,2,3,3,5
